Designator,Mid X,Mid Y,Layer,Rotation
C1,36.83,97.79,Bottom,180
C2,20.32,81.28,Bottom,0
C3,36.83,82.55,Bottom,180
C4,20.32,91.44,Bottom,0
C5,36.83,67.31,Bottom,180
C6,45.72,45.72,Bottom,0
C7,36.83,52.07,Bottom,180
C8,45.72,60.96,Bottom,0
C9,7.62,96.52,Bottom,0
C10,45.72,76.20,Bottom,0
C11,39.37,8.89,Bottom,180
C12,52.07,9.53,Bottom,0
C13,7.62,86.36,Bottom,0
C14,45.72,92.71,Bottom,0
C15,55.88,96.52,Bottom,0
C16,55.88,81.28,Bottom,0
C17,55.88,66.04,Bottom,0
C18,55.88,50.80,Bottom,0
C19,39.37,19.05,Bottom,180
C20,52.07,19.05,Bottom,0
C21,27.30,20.32,Bottom,0
C22,27.30,8.89,Bottom,0
C23,47.63,19.05,Bottom,0
C24,47.63,8.89,Bottom,0
C25,33.02,90.17,Bottom,0
C26,33.02,75.56,Bottom,0
C27,33.02,60.33,Bottom,0
C28,33.02,45.09,Bottom,0
C29,72.39,50.80,Bottom,180
C30,72.39,66.04,Bottom,180
C31,24.13,24.13,Bottom,180
C32,26.04,16.51,Bottom,180
C33,11.43,12.70,Bottom,0
C34,9.53,17.14,Bottom,0
C35,72.39,96.52,Bottom,180
C36,72.39,81.28,Bottom,180
C37,72.39,39.37,Bottom,0
C38,72.39,54.61,Bottom,0
C39,72.39,69.85,Bottom,0
C40,72.39,85.09,Bottom,0
C41,59.69,45.72,Bottom,0
C42,59.69,60.96,Bottom,0
C43,12.07,2.54,Bottom,0
C44,22.23,2.54,Bottom,180
C45,59.69,76.20,Bottom,0
C46,59.69,91.44,Bottom,0
C47,20.32,70.48,Bottom,0
C48,20.32,71.76,Bottom,180
C49,7.62,73.03,Bottom,180
C50,20.32,60.96,Bottom,0
C51,20.32,50.80,Bottom,0
C52,7.62,74.30,Bottom,0
C53,7.62,63.50,Bottom,0
C54,7.62,53.34,Bottom,0
C56,21.59,41.91,Bottom,180
C57,13.97,41.91,Bottom,0
C58,52.07,1.91,Bottom,0
C59,5.08,3.81,Bottom,0
C60,5.08,19.05,Bottom,180
C61,45.72,1.91,Bottom,0
C62,8.89,15.24,Bottom,180
C63,39.37,1.91,Bottom,180
D1,13.97,46.99,Bottom,0
D2,13.97,36.83,Bottom,180
D3,51.94,5.84,Bottom,0
D4,45.72,5.84,Bottom,0
D5,39.37,5.71,Bottom,0
IC1,5.08,11.43,Bottom,180
Q1,17.14,6.35,Bottom,0
R1,20.32,95.25,Bottom,0
R2,20.32,93.98,Bottom,0
R3,7.62,93.98,Bottom,180
R4,7.62,92.71,Bottom,180
R5,20.32,92.71,Bottom,0
R6,7.62,91.44,Bottom,180
R7,20.32,96.52,Bottom,0
R8,7.62,95.25,Bottom,180
R9,45.72,87.00,Bottom,0
R10,45.72,88.27,Bottom,0
R11,33.02,86.36,Bottom,180
R12,33.02,85.09,Bottom,180
R13,45.72,72.39,Bottom,0
R14,45.72,71.12,Bottom,0
R15,33.02,71.12,Bottom,180
R16,33.02,69.85,Bottom,180
R17,45.72,89.54,Bottom,180
R18,33.02,87.63,Bottom,0
R19,45.72,73.66,Bottom,180
R20,33.02,72.39,Bottom,0
R21,39.37,16.51,Bottom,180
R22,39.37,13.97,Bottom,180
R23,52.07,16.51,Bottom,0
R24,52.07,13.97,Bottom,0
R25,31.12,27.30,Bottom,0
R26,39.37,11.43,Bottom,180
R27,52.07,11.43,Bottom,0
R28,35.56,27.30,Bottom,0
R29,45.72,95.25,Bottom,0
R30,45.72,93.98,Bottom,0
R31,33.02,92.71,Bottom,180
R32,33.02,93.98,Bottom,180
R33,45.72,78.74,Bottom,0
R34,45.72,77.47,Bottom,0
R35,33.02,78.74,Bottom,180
R36,33.02,80.01,Bottom,180
R37,35.56,18.41,Bottom,180
R38,45.72,96.52,Bottom,180
R39,45.72,80.01,Bottom,180
R40,31.12,18.41,Bottom,180
R41,33.02,95.25,Bottom,0
R42,33.02,81.28,Bottom,0
R43,20.32,85.09,Bottom,0
R44,20.32,83.82,Bottom,0
R45,7.62,83.82,Bottom,180
R46,7.62,82.55,Bottom,180
R47,45.72,97.79,Bottom,180
R48,45.72,81.28,Bottom,180
R49,20.32,82.55,Bottom,0
R50,7.62,81.28,Bottom,180
R51,33.02,96.52,Bottom,0
R52,33.02,82.55,Bottom,0
R53,20.32,86.36,Bottom,0
R54,7.62,85.09,Bottom,180
R55,45.72,57.15,Bottom,0
R56,45.72,55.88,Bottom,0
R57,33.02,55.25,Bottom,180
R58,33.02,56.52,Bottom,180
R59,45.72,41.91,Bottom,0
R60,45.72,40.64,Bottom,0
R61,33.02,40.01,Bottom,180
R62,33.02,41.27,Bottom,180
R63,31.12,15.88,Bottom,0
R64,35.56,15.88,Bottom,0
R65,45.72,58.42,Bottom,0
R66,33.02,57.79,Bottom,0
R67,45.72,43.18,Bottom,0
R68,33.02,42.55,Bottom,180
R69,39.37,26.67,Bottom,180
R70,39.37,24.13,Bottom,180
R71,52.07,26.67,Bottom,0
R72,52.07,24.13,Bottom,0
R73,39.37,21.59,Bottom,180
R74,52.07,21.59,Bottom,0
R75,31.12,6.99,Bottom,0
R76,35.56,6.99,Bottom,0
R77,45.72,63.50,Bottom,0
R78,45.72,62.23,Bottom,0
R79,33.02,64.77,Bottom,180
R80,33.02,63.50,Bottom,180
R81,45.72,48.26,Bottom,0
R82,45.72,46.99,Bottom,0
R83,33.02,52.07,Bottom,180
R84,33.02,50.80,Bottom,180
R85,45.72,64.77,Bottom,180
R86,45.72,49.53,Bottom,180
R87,33.02,66.04,Bottom,0
R88,33.02,49.53,Bottom,0
R89,45.72,66.04,Bottom,180
R90,45.72,50.80,Bottom,180
R91,33.02,67.31,Bottom,0
R92,33.02,48.26,Bottom,0
R93,72.39,87.63,Bottom,180
R94,59.69,86.36,Bottom,0
R95,72.39,72.39,Bottom,180
R96,59.69,71.12,Bottom,0
R97,72.39,90.17,Bottom,0
R98,59.69,88.90,Bottom,180
R99,72.39,74.93,Bottom,0
R100,59.69,73.66,Bottom,180
R101,72.39,57.15,Bottom,180
R102,59.69,55.88,Bottom,0
R103,72.39,41.91,Bottom,180
R104,59.69,40.64,Bottom,0
R105,72.39,59.69,Bottom,0
R106,59.69,58.42,Bottom,180
R107,72.39,44.45,Bottom,0
R108,59.69,43.18,Bottom,180
R109,12.70,24.13,Bottom,180
R110,3.81,68.58,Bottom,90
R111,1.27,68.58,Bottom,90
R112,20.32,73.03,Bottom,180
R113,7.62,71.76,Bottom,180
R114,20.32,62.23,Bottom,180
R115,20.32,52.07,Bottom,180
R116,20.32,63.50,Bottom,180
R117,20.32,53.34,Bottom,180
R118,7.62,62.23,Bottom,0
R119,7.62,52.07,Bottom,0
R120,7.62,60.96,Bottom,180
R121,7.62,50.80,Bottom,180
R122,52.07,3.18,Bottom,0
R123,45.72,3.18,Bottom,0
R124,39.37,3.18,Bottom,180
U1,13.97,93.98,Bottom,270
U2,39.37,87.63,Bottom,270
U3,39.37,72.39,Bottom,270
U4,45.72,12.70,Bottom,90
U5,31.75,22.86,Bottom,0
U6,53.34,90.81,Bottom,270
U7,53.34,75.56,Bottom,270
U8,39.37,93.98,Bottom,270
U9,39.37,78.74,Bottom,270
U10,13.97,83.82,Bottom,270
U11,39.37,57.15,Bottom,270
U12,39.37,41.91,Bottom,270
U13,31.75,11.43,Bottom,0
U14,45.72,22.86,Bottom,90
U15,53.34,60.33,Bottom,270
U16,53.34,45.09,Bottom,270
U17,39.37,63.50,Bottom,270
U18,39.37,48.26,Bottom,270
U19,66.04,93.98,Bottom,270
U20,66.04,78.74,Bottom,270
U21,66.04,87.63,Bottom,270
U22,66.04,72.39,Bottom,270
U23,17.78,17.78,Bottom,0
U24,66.04,63.50,Bottom,270
U25,66.04,48.26,Bottom,270
U26,66.04,57.15,Bottom,270
U27,66.04,41.91,Bottom,270
U28,13.97,72.39,Bottom,270
U29,13.97,62.23,Bottom,270
U30,13.97,52.07,Bottom,270
